"(PDH-CSV 4.0) (","\\INSWAVE\process(W-Gear(Swing))\Working Set - Private","\\INSWAVE\process(W-BrowserUpdate)\Working Set - Private","\\INSWAVE\process(W-Browser#4)\Working Set - Private","\\INSWAVE\process(W-Browser#3)\Working Set - Private","\\INSWAVE\process(W-Browser#2)\Working Set - Private","\\INSWAVE\process(W-Browser#1)\Working Set - Private","\\INSWAVE\process(W-Browser)\Working Set - Private","\\INSWAVE\memory\Available Bytes"
"05/11/2017 17:19:57.275","5791744","7028736","242388992","8744960","44716032","1536000","21774336","678600704"
"05/11/2017 17:20:02.279","5791744","7028736","243073024","8744960","48648192","1536000","21835776","673656832"
"05/11/2017 17:20:07.296","5791744","7028736","253931520","8744960","39743488","1536000","21643264","668520448"
"05/11/2017 17:20:12.300","5791744","7028736","254562304","8744960","44457984","1536000","21643264","666357760"
"05/11/2017 17:20:17.317","5894144","7028736","255229952","8744960","40001536","1536000","21872640","670392320"
"05/11/2017 17:20:22.320","5894144","7028736","253448192","8744960","47075328","1536000","21872640","667172864"
"05/11/2017 17:20:27.333","5894144","7028736","259461120","8744960","39485440","1536000","21647360","662843392"
"05/11/2017 17:20:32.338","5894144","7028736","260280320","8744960","45244416","1536000","21647360","660447232"
"05/11/2017 17:20:37.354","5791744","7028736","251654144","8744960","39739392","1536000","21872640","672698368"
"05/11/2017 17:20:42.357","5791744","7028736","242118656","8744960","42881024","1536000","21872640","677195776"
"05/11/2017 17:20:47.372","5791744","7028736","256225280","8744960","39477248","1536000","21651456","664891392"
"05/11/2017 17:20:52.377","5791744","7028736","255717376","8744960","39473152","1536000","21655552","670318592"
"05/11/2017 17:20:57.391","5791744","7028736","243068928","8744960","39473152","1536000","21880832","677638144"
"05/11/2017 17:21:02.394","5791744","7028736","244252672","8744960","40525824","1536000","21880832","676188160"
"05/11/2017 17:21:07.411","5791744","7028736","254341120","8744960","39477248","1536000","21655552","665395200"
"05/11/2017 17:21:12.415","5791744","7028736","249077760","8744960","39206912","1536000","21655552","676339712"
"05/11/2017 17:21:17.430","5791744","7028736","253706240","8744960","39477248","1536000","21880832","668614656"
"05/11/2017 17:21:22.434","5791744","7028736","258064384","8744960","45498368","1536000","21823488","664645632"
"05/11/2017 17:21:27.467","5791744","7028736","255172608","8744960","46825472","1536000","20893696","659709952"
"05/11/2017 17:21:32.475","5791744","7028736","235778048","8744960","39477248","1536000","21397504","689676288"
"05/11/2017 17:21:37.490","5857280","7028736","243900416","8744960","39477248","1536000","22102016","676147200"
"05/11/2017 17:21:42.494","5791744","7028736","245268480","8744960","41046016","1536000","22102016","677687296"
"05/11/2017 17:21:47.508","5791744","7028736","256438272","8744960","45244416","1536000","21389312","662147072"
"05/11/2017 17:21:52.513","5791744","7028736","255733760","8744960","39735296","1536000","21389312","669474816"
"05/11/2017 17:21:57.530","5853184","7028736","259555328","8744960","39477248","1536000","22077440","662487040"
"05/11/2017 17:22:02.532","5791744","7028736","260517888","8744960","40783872","1536000","22077440","663904256"
