"(PDH-CSV 4.0) (","\\DESKTOP-MBVT9LE\process(W-Gear(Swing))\Working Set - Private","\\DESKTOP-MBVT9LE\process(W-BrowserUpdate)\Working Set - Private","\\DESKTOP-MBVT9LE\memory\Available Bytes"
"05/30/2017 18:17:40.547","6033408","5124096","4806557696"
"05/30/2017 18:17:45.565","6033408","5124096","4807503872"
